duration,pause_ratio,total_words,unique_words,lexical_diversity,hesitations,transcription,filename,anomaly_score
7.704036281,0.503012048,15,12,0.8,1, He studied theater and spent time as a directing assistant and as a journalist.,common_voice_en_41236242.mp3,0.021105545
5.61600907,0.648760331,7,7,1,0, Steve was at the best teen attack,common_voice_en_41247165.mp3,-0.02801019
9.9,0.505854801,12,12,1,1," Just proper support for ground-girl hardware, parted devices and keyboards.",common_voice_en_41247167.mp3,-0.054141001
7.05600907,0.490131579,11,11,1,0, He was purchased for Hong Kong businessmen Mr. Bon Ho.,common_voice_en_41247169.mp3,-0.101224355
6.69600907,0.612456747,9,9,1,1," However, the silence upon these things towards it",common_voice_en_41247171.mp3,-0.053301323
6.69600907,0.487889273,15,14,0.933333333,0," For me, with icing on the band, I think of those records.",common_voice_en_41247172.mp3,-0.071528429
5.328027211,0.491304348,10,10,1,0, last year's third on dirty cat synth chords rate,common_voice_en_41247197.mp3,-0.099513202
8.13600907,0.561253561,13,12,0.923076923,1, This is a closed-frader mine and a thin patchy little hardware geek.,common_voice_en_41247199.mp3,-0.071511293
9.57600907,0.530266344,13,11,0.846153846,1," In the current last system, most could follow the ever-soil system.",common_voice_en_41247200.mp3,-0.002622695
7.41600907,0.534375,11,10,0.909090909,0, This happens also with the nouns and the targeted pronouns.,common_voice_en_41247202.mp3,-0.077052116
5.328027211,0.591304348,10,10,1,0, But I need also build and a same yard.,common_voice_en_41247203.mp3,-0.071047187
8.028027211,0.473988439,3,3,1,0, The assassination shot,common_voice_en_41247255.mp3,0.051845047
8.67600907,0.585561497,12,11,0.916666667,1," Here's your name, Watt-Telob-Trakat. It was not completed.",common_voice_en_41247257.mp3,-0.04956755
6.84,0.423728814,13,13,1,2, ES españolo le sol enhanced delivery of Panther for begining on 20.,common_voice_en_41247259.mp3,-0.046910301
5.4,0.545064378,9,9,1,1, He was buried in Naples Wall's cemetery.,common_voice_en_41247261.mp3,-0.070769301
10.29600907,0.481981982,17,16,0.941176471,2," However, it was abandoned after about a year and a play-mouse cup playing became inductive.",common_voice_en_41247263.mp3,-0.010402571
7.41600907,0.50625,11,10,0.909090909,0, The green grass float freely beneath the station of tree.,common_voice_en_41247311.mp3,-0.085870592
5.22,0.591111111,8,8,1,0," Last Christmas, he had met him.",common_voice_en_41247313.mp3,-0.069729835
8.64,0.479892761,29,27,0.931034483,2," The name Baba Sm ""[stsmith finalement</i Oregon, Tai Worldern, and Ghost provide filtration to all4saffery"". They introduced Phrotaminegon. Guys!",common_voice_en_41247316.mp3,0.149844225
10.47600907,0.502212389,11,11,1,0, it also needed the selection of opposed cases to q/.,common_voice_en_41247317.mp3,-0.018309608
7.02,0.442244224,11,11,1,2, They commonly be faster plus use in shooting eye versions.,common_voice_en_41247318.mp3,-0.072139584
6.87600907,0.488215488,9,9,1,0, This way industrial are oil exploration and processing.,common_voice_en_41247339.mp3,-0.091674168
9.21600907,0.478589421,18,18,1,1," Catalyst designers call the tool Catalystalistsはは yn 이용, they'll be vocal calidad of tail fins.",common_voice_en_41247343.mp3,-0.008016834
9.75600907,0.517814727,13,13,1,1," The name is divide from other title, meaning word of blossom.",common_voice_en_41247344.mp3,-0.052615727
6.48,0.435714286,12,12,1,0," This means central elementary, you now need an original site.",common_voice_en_41247346.mp3,-0.094524787
7.488027211,0.498452012,12,11,0.916666667,0, Happy as our action is similar and our make made line.,common_voice_en_41247348.mp3,-0.084599891
4.968027211,0.53271028,10,9,0.9,2, Here's what's coming down after Baby Crap.,common_voice_en_41247370.mp3,-0.017280562
8.388027211,0.461325967,15,15,1,1," As HANA performs attributes, you made unchange of its not just specific plane.",common_voice_en_41247371.mp3,-0.059097409
6.228027211,0.513011152,10,10,1,1, Just can't be proved using the following observation.,common_voice_en_41247372.mp3,-0.096748286
7.848027211,0.517751479,14,12,0.857142857,1," others, find it to be godly, dated, cut in a gaffly",common_voice_en_41247373.mp3,-0.046630268
7.95600907,0.548104956,14,13,0.928571429,1," In the middle of the science, it will be closer to God.",common_voice_en_41247374.mp3,-0.078520041
9,0.432989691,16,13,0.8125,1, My love forgive me and my parents and whoever else in my home by believing.,common_voice_en_41247398.mp3,0.015598525
5.25600907,0.519823789,5,5,1,0, Instant by army projects Venezuelan,common_voice_en_41247399.mp3,-0.018496172
8.67600907,0.454545455,12,12,1,0, The British and European Wallopolis Commission still had a degree deal.,common_voice_en_41247401.mp3,-0.066017337
5.148027211,0.490990991,12,12,1,1, See there are pollets and let's taste what it tells.,common_voice_en_41247403.mp3,-0.077927537
6.33600907,0.428571429,12,12,1,0, Best Buy had not completely abandoned this hard block stand though.,common_voice_en_41247404.mp3,-0.092460477
6.3,0.544117647,8,8,1,2, The builder was Joseph Pickfort of Derby.,common_voice_en_41249193.mp3,-0.02917115
3.99600907,0.514450867,6,6,1,1, These were constructed by Yamaki.,common_voice_en_41249194.mp3,-0.022459924
6.192018141,0.38576779,9,9,1,2, The provisional government appointed MULK Minister of Defence.,common_voice_en_41249195.mp3,-0.041293539
4.644036281,0.358208955,11,11,1,0, He held the job of assistant chief for 10 years.,common_voice_en_41249196.mp3,-0.06144051
6.51600907,0.34519573,12,11,0.916666667,2, The event attracts competitors from all over the sheet jumping world.,common_voice_en_41249197.mp3,-0.04007251
5.58,0.510373444,8,8,1,0, The following are some examples of games.,common_voice_en_41253075.mp3,-0.090487288
9.468027211,0.316176471,18,14,0.777777778,2," The Brazilian military has all support times in Turkey, military, to overthrow the Brazilian government.",common_voice_en_41253076.mp3,0.084661326
5.868027211,0.367588933,14,13,0.928571429,0, The chains and valley is a popular place for push walking and camping.,common_voice_en_41253079.mp3,-0.042449119
5.508027211,0.470588235,3,3,1,0, Now蒙是我吗纷在iving an impose,common_voice_en_41253081.mp3,0.023717823
7.02,0.429042904,18,17,0.944444444,2, I have a powerful here called Force the Sun rose up to lead the charge against them.,common_voice_en_41253083.mp3,-0.014286261
6.84,0.447457627,11,10,0.909090909,2, There are different hypotheses regarding the foundation of the village.,common_voice_en_41254427.mp3,-0.066551609
5.07600907,0.223744292,11,11,1,2, Kuala Belite town itself has a number of tourist attractions.,common_voice_en_41254428.mp3,0.000326035
4.068027211,0.522727273,6,6,1,1, Thus East Enders was born.,common_voice_en_41254429.mp3,-0.019898109
6.768027211,0.308219178,10,10,1,2, Other organizations use per GATI-2 always prepared in Albania.,common_voice_en_41254430.mp3,-0.040522724
4.14,0.301675978,11,10,0.909090909,1, Luria would die in the final issue of the series.,common_voice_en_41254431.mp3,-8.15E-05
4.71600907,0.632352941,8,8,1,0, Hey hello how are you doing today?,common_voice_en_41256752.mp3,-0.05327076
3.888027211,0.422619048,6,6,1,0, It's a good day.,common_voice_en_41256754.mp3,-0.026058398
3.45600907,0.32885906,7,7,1,0," Yeah, I'm doing well.",common_voice_en_41256755.mp3,-0.02089801
2.988027211,0.387596899,7,7,1,0, Hope this would be a greeting.,common_voice_en_41256756.mp3,-0.014651751
2.19600907,0.073684211,2,2,1,1, Wonderful.,common_voice_en_41256757.mp3,0.175321582
3.6,0.397435897,7,7,1,0, It can take time to address.,common_voice_en_41259139.mp3,-0.048313507
5.07600907,0.200913242,8,8,1,0, Without your undivided attention she could explode.,common_voice_en_41259140.mp3,-0.027043764
5.25600907,0.356828194,10,10,1,1, They will later return with Alvin to take samples.,common_voice_en_41259141.mp3,-0.067384514
5.79600907,0.324,13,13,1,0, He has a son of Luris Olsen and his wife Marin Sokze.,common_voice_en_41259142.mp3,-0.038063007
6.228027211,0.256505576,16,15,0.9375,1, He's record that this race earned him the popular nickname King of the Monster.,common_voice_en_41259143.mp3,-0.010123579
6.15600907,0.364661654,12,11,0.916666667,0," Dorian, became a rule for which stress became well known.",common_voice_en_41259459.mp3,-0.051596296
8.208027211,0.307909605,16,14,0.875,2," He became known as writer, Dutloman, Buddhist religious leader, and Patricia Nui-Pakistan.",common_voice_en_41259460.mp3,-0.017146436
6.87600907,0.249158249,16,15,0.9375,0, It is said that this film especially targeted towards the young adults or the parents.,common_voice_en_41259461.mp3,0.005649892
5.94,0.65625,10,9,0.9,0," Dead. Oh, 3 was intense to death.",common_voice_en_41259462.mp3,-0.013663665
4.248027211,0.393442623,8,8,1,0, It's the moon in exact examples.,common_voice_en_41259463.mp3,-0.067609755
7.128027211,0.342019544,12,11,0.916666667,0," In Korea, the Knessians express admiration, love and gratitude.",common_voice_en_41267069.mp3,-0.047938173
6.048027211,0.762452107,10,10,1,2, That is considered the beginning of this sun-gun era.,common_voice_en_41267071.mp3,0.037828018
8.028027211,0.320809249,15,14,0.933333333,2, He also described deliberate efforts to study physical resistance by starving prisoners to death.,common_voice_en_41267073.mp3,-0.037586689
7.38,0.424528302,9,8,0.888888889,0, The Thessaloniki beltway is located to the west.,common_voice_en_41267075.mp3,-0.007167093
7.848027211,0.387573964,11,10,0.909090909,1, The main deity is referred by the name Laksmi Narayan.,common_voice_en_41267078.mp3,-0.064144924
5.58,0.427385892,9,9,1,0," In Greece, Pontic has no official status.",common_voice_en_41267143.mp3,-0.09523952
4.89600907,0.431279621,9,9,1,0," He is buried in Nyang-dong, South Dakota.",common_voice_en_41267148.mp3,-0.089048546
8.748027211,0.193633952,20,16,0.8,2," It forms a consolidated city, country government, where it's going to countryside people and country any country",common_voice_en_41267150.mp3,0.125937109
3.528027211,0.407894737,8,8,1,1, He was the fighter of 9 Children.,common_voice_en_41267151.mp3,-0.035154872
6.408027211,0.25,14,13,0.928571429,1, Context 3 languages is up close to the end of the following operations.,common_voice_en_41267153.mp3,-0.030592229
9,0.474226804,13,12,0.923076923,3, The further we'll find the biggest commercial vegetable farm in Palmer.,common_voice_en_41269175.mp3,0.013642813
6.84,0.538983051,3,3,1,0, komun robot the,common_voice_en_41269178.mp3,0.048201379
9.03600907,0.461538462,16,16,1,0," He chose for the title Formula One team, made as Jackie Stewart's teammate.",common_voice_en_41269180.mp3,-0.017058456
6.228027211,0.49070632,11,10,0.909090909,1, The one for the second best to place immediately after.,common_voice_en_41269183.mp3,-0.084510266
9.54,0.457420925,14,13,0.928571429,1, It was broadcast live on television and video and does much major coverage.,common_voice_en_41269185.mp3,-0.073563699
3.63600907,0.694267516,3,3,1,0, Cast the Liquid,common_voice_en_41269213.mp3,0.088083495
10.54802721,0.52967033,16,16,1,1," At 6 feet tall, my greater was according to some videos this impressive site.",common_voice_en_41269214.mp3,0.009680534
7.23600907,0.483974359,10,10,1,0," Typically, the woman informs a married as non-working.",common_voice_en_41269215.mp3,-0.10088126
7.92,0.546783626,10,10,1,1, The County PUT Commission Corporate Services is Dave Hudson.,common_voice_en_41269216.mp3,-0.074758252
9.54,0.462287105,14,12,0.857142857,0, The model set was a brain-styled of the program called the Sandy Beach.,common_voice_en_41269217.mp3,-0.006569159
10.08,0.443678161,15,13,0.866666667,1, Overland pop falls within the boundaries of the art dices of Catholicity in Cascades.,common_voice_en_41269250.mp3,-0.022455166
7.848027211,0.470414201,15,14,0.933333333,2," His father was her boy survived the house, a wounded, touched victim.",common_voice_en_41269252.mp3,-0.071516502
9.9,0.451990632,14,13,0.928571429,0, The PINS-3 Shop has been awarded with a diploma from the Gasolami Academy.,common_voice_en_41269253.mp3,-0.046677498
6.948027211,0.46,13,12,0.923076923,0, It's a spare time fighting songs for his spare morning glory.,common_voice_en_41269255.mp3,-0.07818194
5.76,0.481927711,20,19,0.95,3," Close it to cover pessimistic pattern, and press the other edge of the glue into the紹ac farm line.",common_voice_en_41269256.mp3,0.084813541
5.43600907,0.676595745,7,6,0.857142857,1," Time,聒 Pay, the Power",common_voice_en_41269289.mp3,0.079625717
6.51600907,0.533807829,11,9,0.818181818,0, The city was gained by the Libras by Gordy Hike.,common_voice_en_41269292.mp3,0.038034378
7.41600907,0.509375,15,14,0.933333333,0," He said, my love support me. I can't stop unbelievable people.",common_voice_en_41269295.mp3,-0.07179201
8.13600907,0.495726496,12,11,0.916666667,1," We kill the Mithriya chooses Salamay, the Master of God.",common_voice_en_41269299.mp3,-0.088920134
9.288027211,0.49127182,17,16,0.941176471,2," Despite her attention, she and Seval said all of the work together in the field.",common_voice_en_41269301.mp3,-0.052357538
9.18,0.5,18,15,0.833333333,2, I can logic as I can still take up the add in order to uncover the truth.,common_voice_en_41269331.mp3,0.012324522
4.68,0.678217822,6,6,1,0, He is a special soul.,common_voice_en_41269334.mp3,-0.009726254
9.288027211,0.438902743,19,17,0.894736842,1, She doesn't mean that's our special arc because our PLA one month has just our Discovery and,common_voice_en_41269335.mp3,-0.002628734
10.11600907,0.5,21,19,0.904761905,1," And to tell you the most, the freshness is still a little associated with the increased risk of service.",common_voice_en_41269338.mp3,0.040996968
